Product,Category,Type,Price_Aldi,ppu_Aldi,Category_Aldi,Product_URL_Aldi,Price_Coles,ppu_Coles,Category_Coles,Product_URL_Coles,Price_IGA,ppu_IGA,Category_IGA,Product_URL_IGA,Price_Woolworths,ppu_Woolworths,Category_Woolworths,Product_URL_Woolworths,Average_Price,image
Oranges Navel Medium,Fruits,Orange,,,,,,,,,1.08,6.00 per kg,Fruit & Veg,https://igashop.com.au/product/oranges-navel-medium/,,,,,1.08,https://assets.woolworths.com.au/images/1005/149885.jpg?impolicy=wowsmkqiema&w=600&h=600
A2 Dairy Full Cream Milk 2L,Milk,Full Cream,,,,,5.3,$2.65 per 1L,Dairy Eggs Meals,https://shop.coles.com.au/a/national/product/a2-milk-full-cream-9760091p,,,,,,,,,5.3,https://assets.woolworths.com.au/images/1005/208064.jpg?impolicy=wowsmkqiema&w=600&h=600
A2 Full Cream Milk 2L,Milk,Full Cream,,,,,,,,,,,,,5.3,$2.65 / 1L,Dairy Eggs & Fridge,https://www.woolworths.com.au/shop/productdetails/208064/a2-full-cream-milk,5.3,https://assets.woolworths.com.au/images/1005/239521.jpg?impolicy=wowsmkqiema&w=600&h=600
A2 Light Fat Milk 1L,Milk,Light Fat,,,,,3.2,$3.20 per 1L,Dairy Eggs Meals,https://shop.coles.com.au/a/national/product/a2-milk-reduced-fat,,,,,,,,,3.2,https://assets.woolworths.com.au/images/1005/216867.jpg?impolicy=wowsmkqiema&w=600&h=600
Almond Breeze Flavoured Chocolate Milk 1L,Milk,Chocolate,,,,,,,,,,,,,2.0,$2.00 / 1L,Dairy Eggs & Fridge,https://www.woolworths.com.au/shop/productdetails/761612/almond-breeze-flavoured-chocolate-milk,2.0,https://assets.woolworths.com.au/images/1005/761612.jpg?impolicy=wowsmkqiema&w=600&h=600
Arnott'S Tee Vee Snacks Biscuits Chocolate Milk 165g,Snacks,Biscuits,,,,,4.0,$2.42 per 100G,Pantry,https://shop.coles.com.au/a/national/product/arnotts-te-ve-snacks-biscuits-chocolate-milk,,,,,,,,,4.0,https://assets.woolworths.com.au/images/1005/188562.jpg?impolicy=wowsmkqiema&w=600&h=600
Arnott's Chocolate Malt Sticks TeeVee Snacks 175g,Snacks,Sticks,,,,,4.0,$2.29 per 100G,Kids Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-biscuits-teevee-snacks-malt-sticks-chocolate,,,,,,,,,4.0,https://assets.woolworths.com.au/images/1005/117822.jpg?impolicy=wowsmkqiema&w=600&h=600
Burger Rings Burger Snacks 90g,Snacks,Burger,,,,,,,,,,,,,2.0,$2.22 / 100G,Pantry,https://www.woolworths.com.au/shop/productdetails/82144/burger-rings-burger-snacks,2.0,https://assets.woolworths.com.au/images/1005/82144.jpg?impolicy=wowsmkqiema&w=600&h=600
Carman's Nutty Delights Health Snacks Dark Choc Cherry & Coconut 160g,Snacks,Dark Choc Cherry & Coconut,,,,,6.0,$3.75 per 100G,Kids Lunch Box,https://shop.coles.com.au/a/national/product/carmans-nutty-delights-dark-choc-cherry-coconu,,,,,,,,,6.0,https://assets.woolworths.com.au/images/1005/109953.jpg?impolicy=wowsmkqiema&w=600&h=600
Fantastic Delites Rice Snacks Flame Grilled BBQ 100g,Snacks,Rice,,,,,2.0,$2.00 per 100G,Kids Lunch Box,https://shop.coles.com.au/a/national/product/fantastic-rice-snacks-delites-flame-grill-bbq,,,,,,,,,2.0,https://assets.woolworths.com.au/images/1005/301077.jpg?impolicy=wowsmkqiema&w=600&h=600
